store_nbr,city,state,type,cluster,total_sales,sales_days,in_universe,sales_active,transaction_days,transaction_active,is_active,sales_size_group,store_stratum
1,Quito,Pichincha,D,13,2436517.2,226,True,True,226,True,True,small,Pichincha|Quito|D|13|small
2,Quito,Pichincha,D,13,3564823.0,226,True,True,226,True,True,large,Pichincha|Quito|D|13|large
3,Quito,Pichincha,D,8,8712339.0,226,True,True,226,True,True,large,Pichincha|Quito|D|8|large
4,Quito,Pichincha,D,9,3126436.0,226,True,True,226,True,True,medium,Pichincha|Quito|D|9|medium
5,Santo Domingo,Santo Domingo de los Tsachilas,D,4,2287996.0,226,True,True,226,True,True,small,Santo Domingo de los Tsachilas|Santo Domingo|D|4|small
6,Quito,Pichincha,D,13,4242238.0,226,True,True,226,True,True,large,Pichincha|Quito|D|13|large
7,Quito,Pichincha,D,8,4777960.0,226,True,True,226,True,True,large,Pichincha|Quito|D|8|large
8,Quito,Pichincha,D,8,5250808.0,226,True,True,226,True,True,large,Pichincha|Quito|D|8|large
9,Quito,Pichincha,B,6,4378597.0,226,True,True,226,True,True,large,Pichincha|Quito|B|6|large
10,Quito,Pichincha,C,15,1462272.8,226,True,True,226,True,True,small,Pichincha|Quito|C|15|small
11,Cayambe,Pichincha,B,6,4624729.0,226,True,True,226,True,True,large,Pichincha|Cayambe|B|6|large
12,Latacunga,Cotopaxi,C,15,1794112.2,226,True,True,226,True,True,small,Cotopaxi|Latacunga|C|15|small
13,Latacunga,Cotopaxi,C,15,1574906.6,226,True,True,226,True,True,small,Cotopaxi|Latacunga|C|15|small
14,Riobamba,Chimborazo,C,7,1867289.4,226,True,True,226,True,True,small,Chimborazo|Riobamba|C|7|small
15,Ibarra,Imbabura,C,15,1855465.6,226,True,True,226,True,True,small,Imbabura|Ibarra|C|15|small
16,Santo Domingo,Santo Domingo de los Tsachilas,C,3,1483381.4,226,True,True,226,True,True,small,Santo Domingo de los Tsachilas|Santo Domingo|C|3|small
17,Quito,Pichincha,C,12,3367259.2,226,True,True,226,True,True,medium,Pichincha|Quito|C|12|medium
18,Quito,Pichincha,B,16,2574144.2,226,True,True,226,True,True,medium,Pichincha|Quito|B|16|medium
19,Guaranda,Bolivar,C,15,2120811.8,226,True,True,226,True,True,small,Bolivar|Guaranda|C|15|small
20,Quito,Pichincha,B,6,3612255.5,226,True,True,226,True,True,large,Pichincha|Quito|B|6|large
21,Santo Domingo,Santo Domingo de los Tsachilas,B,6,2980049.5,226,True,True,226,True,True,medium,Santo Domingo de los Tsachilas|Santo Domingo|B|6|medium
22,Puyo,Pastaza,C,7,1517214.2,226,True,True,226,True,True,small,Pastaza|Puyo|C|7|small
23,Ambato,Tungurahua,D,9,1905896.6,226,True,True,226,True,True,small,Tungurahua|Ambato|D|9|small
