scenario_name,heldout_store_count,heldout_sales_contribution,method,actual_universe_sales,estimated_market_sales,error,error_pct,business_risk_level
random_store_holdout,3,0.10888722119052933,without_imputation,194216941.5913,76864021.126,-117352920.46530001,-0.6042362705528098,high
top_store_holdout,3,0.15042538720169354,without_imputation,194216941.5913,68796605.564,-125420336.02730002,-0.645774436563974,high
cluster_holdout,2,0.08395988190522742,without_imputation,194216941.5913,81705332.724,-112511608.8673,-0.5793089312675078,high
random_store_holdout,3,0.10888722119052933,similar_store_average,194216941.5913,93100806.7995,-101116134.7918,-0.5206349866459308,high
random_store_holdout,3,0.10888722119052933,historical_trend,194216941.5913,98673119.088,-95543822.50330001,-0.4919438114948666,high
random_store_holdout,3,0.10888722119052933,category_trend,194216941.5913,98011764.188654,-96205177.402646,-0.49534904944129515,high
top_store_holdout,3,0.15042538720169354,similar_store_average,194216941.5913,89782452.411,-104434489.18030001,-0.5377207998675342,high
top_store_holdout,3,0.15042538720169354,historical_trend,194216941.5913,98975946.88483332,-95240994.70646669,-0.49038458708142396,high
top_store_holdout,3,0.15042538720169354,category_trend,194216941.5913,98011764.23659,-96205177.35471001,-0.4953490491944784,high
cluster_holdout,2,0.08395988190522742,similar_store_average,194216941.5913,98652619.7275,-95564321.8638,-0.4920493602710549,high
cluster_holdout,2,0.08395988190522742,historical_trend,194216941.5913,98549996.21233334,-95666945.37896667,-0.4925777565804903,high
cluster_holdout,2,0.08395988190522742,category_trend,194216941.5913,98011764.259424,-96205177.33187601,-0.49534904907690885,high
