period,actual_sales,sample_sales,estimated_sales,method,error,error_pct
2016-12-26,12082.501,0.0,0.0,naive,-12082.501,-1.0
2017-01-02,7410347.061,3893450.0700000003,11065594.935789475,naive,3655247.8747894755,0.4932627101943337
2017-01-09,5902375.601,3067587.728,8718407.226947369,naive,2816031.6259473693,0.47710139379646865
2017-01-16,5911569.765,3081415.698,8757707.773263158,naive,2846138.0082631586,0.48145215592548435
2017-01-23,5615398.863,2894212.454,8225656.448210526,naive,2610257.5852105264,0.4648392124751061
2017-01-30,6306448.555,3224342.48,9163920.732631579,naive,2857472.1776315793,0.4531032248516581
2017-02-06,5706049.262,2963946.963,8423849.263263159,naive,2717800.0012631584,0.4763015313174067
2017-02-13,5509823.915,2841303.09,8075282.466315789,naive,2565458.551315789,0.4656153428663226
2017-02-20,5509810.994,2745745.116,7803696.645473684,naive,2293885.6514736842,0.41632746639978196
2017-02-27,6744430.477,3520164.115,10004676.958421053,naive,3260246.4814210534,0.48339833771572194
2017-03-06,5907994.449,3060626.8559999997,8698623.695999999,naive,2790629.2469999986,0.4723479805354838
2017-03-13,5978472.396,3105906.014,8827311.829263158,naive,2848839.4332631584,0.4765162811773161
2017-03-20,5939372.637,3059659.901,8695875.508105263,naive,2756502.871105263,0.46410673981513023
2017-03-27,6429788.578,3266958.459,9285039.830842104,naive,2855251.252842104,0.4440661179142902
2017-04-03,6056291.476,3073240.3,8734472.431578947,naive,2678180.9555789474,0.4422146731530508
2017-04-10,5634508.939,2824652.149,8027958.739263158,naive,2393449.800263158,0.42478409852127097
2017-04-17,5815468.498,2951996.535,8389884.88894737,naive,2574416.39094737,0.4426842638443899
2017-04-24,5787302.581,2830841.571,8045549.728105263,naive,2258247.1471052626,0.3902072019733683
2017-05-01,6902516.193,3456194.519,9822868.632947369,naive,2920352.4399473686,0.42308519941017525
2017-05-08,5672859.231,2831872.339,8048479.279263158,naive,2375620.0482631586,0.41876943381237214
2017-05-15,6112115.739,3043471.6180000002,8649866.703789474,naive,2537750.9647894744,0.4152000834337398
2017-05-22,5847001.509,2879084.926,8182662.421263157,naive,2335660.912263158,0.39946302539309947
2017-05-29,6615275.674,3302491.785,9386029.28368421,naive,2770753.609684211,0.41884174541268127
2017-06-05,6230800.905,3142403.122,8931040.452,naive,2700239.5469999993,0.4333695761058825
2017-06-12,5840051.062,2938091.928,8350366.532210526,naive,2510315.470210526,0.42984478107471147
2017-06-19,5771418.822,2902382.652,8248877.010947367,naive,2477458.1889473675,0.4292632826270683
2017-06-26,6106477.401,3030237.931,8612255.17231579,naive,2505777.77131579,0.41034750589684366
2017-07-03,6207049.075,3095358.1520000002,8797333.695157895,naive,2590284.6201578947,0.41731337852486605
2017-07-10,5748513.468,2841276.183,8075205.9937894745,naive,2326692.525789474,0.4047468165015829
2017-07-17,5744335.177,2835283.454,8058174.027157894,naive,2313838.850157894,0.4028035932552085
2017-07-24,5921810.939,2892922.859,8221991.283473684,naive,2300180.344473684,0.3884251571297393
2017-07-31,6410193.662,3105406.719,8825892.78031579,naive,2415699.118315791,0.37685275136634255
2017-08-07,5385401.8379999995,2584621.436,7345766.186526316,naive,1960364.3485263167,0.3640144983599489
2017-08-14,1523584.3483,724615.0819999999,2059432.3383157894,naive,535847.9900157894,0.3517022149864451
2016-12-26,12082.501,,0.0,stratified,-12082.501,-1.0
2017-01-02,7410347.061,,9271085.9775,stratified,1860738.9164999994,0.25110010383898257
2017-01-09,5902375.601,,7308084.69425,stratified,1405709.09325,0.23815988481177647
2017-01-16,5911569.765,,7378436.08375,stratified,1466866.3187500006,0.24813482324690125
2017-01-23,5615398.863,,7001746.1395,stratified,1386347.2764999997,0.24688313516510388
2017-01-30,6306448.555,,7842967.67125,stratified,1536519.11625,0.24364253554907497
2017-02-06,5706049.262,,7194326.18125,stratified,1488276.9192500003,0.2608244077318658
2017-02-13,5509823.915,,6889250.7055,stratified,1379426.7905000001,0.25035769051432566
2017-02-20,5509810.994,,6717608.20625,stratified,1207797.2122499999,0.21920846532943702
2017-02-27,6744430.477,,8469266.514,stratified,1724836.0370000005,0.25574228141013133
2017-03-06,5907994.449,,7404788.7555,stratified,1496794.3065,0.2533506622968054
2017-03-13,5978472.396,,7432514.370000001,stratified,1454041.9740000013,0.2432129610522001
2017-03-20,5939372.637,,7342945.9405,stratified,1403573.3034999995,0.23631676092459317
2017-03-27,6429788.578,,7988659.08775,stratified,1558870.5097500002,0.24244506500319338
2017-04-03,6056291.476,,7605758.248000001,stratified,1549466.7720000008,0.2558441544863322
2017-04-10,5634508.939,,6879020.891000001,stratified,1244511.9520000005,0.2208731879695755
2017-04-17,5815468.498,,7161804.0075,stratified,1346335.5095000006,0.23150938053624046
